hidden_neurons, epochs, accuracy, time
1, 32, 0.806413793103, 11.6422111988
4, 32, 0.930275862069, 11.0084130764
16, 32, 0.000827586206897, 10.9925510883
64, 32, 0.940206896552, 12.2080118656
256, 32, 0.996206896552, 13.9759371281
1024, 32, 0.996206896552, 19.072633028
4096, 32, 0.846965517241, 43.2327370644
