hidden_neurons, epochs, accuracy, time
1, 1, 0.797517241379, 1.72476482391
1, 2, 0.791586206897, 2.17136716843
1, 4, 0.909931034483, 2.47736096382
1, 8, 0.934551724138, 3.56877303123
1, 16, 0.914896551724, 5.46470284462
1, 32, 0.913793103448, 9.99218702316
2, 1, 0.516413793103, 1.7940518856
2, 2, 0.791586206897, 2.01497602463
2, 4, 0.899655172414, 2.69068193436
2, 8, 0.930965517241, 3.83570313454
2, 16, 0.970275862069, 6.18308711052
2, 32, 0.984413793103, 11.4772529602
4, 1, 0.854620689655, 1.79600095749
4, 2, 0.92075862069, 2.17528605461
4, 4, 0.966689655172, 2.821352005
4, 8, 0.985862068966, 4.20966792107
4, 16, 0.993448275862, 7.14175605774
4, 32, 0.995448275862, 12.415117979
8, 1, 0.942482758621, 1.90010690689
8, 2, 0.967448275862, 2.33074307442
8, 4, 0.983586206897, 3.27917599678
8, 8, 0.994137931034, 5.00786685944
8, 16, 0.995931034483, 8.44849300385
8, 32, 0.99675862069, 15.7637569904
16, 1, 0.951655172414, 2.08783984184
16, 2, 0.979724137931, 2.73026204109
16, 4, 0.991448275862, 4.01620697975
16, 8, 0.995103448276, 6.58561491966
16, 16, 0.995931034483, 11.7498569489
16, 32, 0.996827586207, 21.9749331474
32, 1, 0.96324137931, 2.56940078735
32, 2, 0.982827586207, 3.56204891205
32, 4, 0.994068965517, 5.71057915688
32, 8, 0.995586206897, 9.92155385017
32, 16, 0.996551724138, 18.6136648655
32, 32, 0.997448275862, 36.1204249859
